id,name,organization,latitude‎,longitude‎
21328,Астраханский краеведческий музей,mincult,46.3493,48.0412
21327,Историко-краеведческий музей,mincult,54.4079,62.7255
21324,Музейно-выставочный центр г. Белово,mincult,54.412,86.3055
21322,Крапивинский районный краеведческий музей,mincult,55.0024,86.7889
21320,Музей истории Шалинского района,commercial,57.2538,58.7224
21319,Кинопавильон Государственного музея героической обороны и освобождения Севастополя,mincult,44.595,33.5245
21318,Константиновский районный краеведческий музей,mincult,49.6181,127.9828
21308,Мемориальный музей И. М. Поддубного,mincult,46.7088,38.2766
21306,Музей чудес «Джоуль парк»,commercial,45.0635,38.9958
21299,Национальная художественная галерея «Хазинэ»,mincult,55.7985,49.106
21297,"Выставочный комплекс «Салют, Победа»",mincult,51.7607,55.0936
21292,Литературно-мемориальный музей Д. Н. Мамина-Сибиряка,mincult,57.6508,59.4982
21291,Музей «Лисьегорская башня»,mincult,57.8953,59.9347
21290,Музей «Демидовская дача»,mincult,57.9033,59.99
21289,Историко-технический музей «Дом Черепановых»,mincult,57.9251,59.9285
21288,Историко-краеведческий музей,mincult,57.9055,59.9506
21286,Централизованная музейная система Ядринского района,mincult,55.9475,46.1993
21284,Музей З. Биишевой,mincult,52.3415,56.4741
21279,Музей «Усадьба князей Голицыных»,mincult,59.4278,56.6838
21277,Историко-краеведческий отдел музея,mincult,56.4759,67.6646
21267,Музей книжной культуры и литературной жизни Верхнекамья «Алконост»,mincult,59.4109,56.7875
21266,Кулундинский районный музей,mincult,52.5715,78.951
21265,Литературно-мемориальный музей «Дом учителя»,mincult,55.3712,50.6396
21264,Музей игрушек Helen & Teddy,commercial,51.6569,39.2036
21263,Литературно-мемориальный музей А. С. Сулейманова,mincult,43.0661,45.6484
